material,std_category,gwp_kgco2e_per_kg,density_kg_per_m3,thickness_m,gwp_kgco2e_per_m2,cost_usd_per_m2,build_speed,energy_rating,urban,remote,sources
Ready-mix Concrete (C30),concrete,0.1136,2350,0.20,53.40,35.50,0.70,C,True,True,"ICE v3 267 kgCO2e/m3 via Climatiq; Concrete density 2350 kg/m3 (BSRIA); MisterConcrete £142/m3 (USD 1.25/GBP)"
Softwood Timber (sawn),timber,0.2630,500,0.20,26.30,67.00,0.90,A,True,True,"IStructE/ICE softwood 0.263 kgCO2e/kg; Timber ~£268/m3 TTJ/industry (USD 1.25/GBP)"
